Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
دل لے کے مفت کہتے ہیں کچہ کام کا نہیں,dil le ke muft kahte haiñ kuchh kaam kā nahīñ,د ل   ل ے   ک ے   م ف ت   ک ہ ت ے   ہ ی ں   ک چ ہ   ک ا م   ک ا   ن ہ ی ں,d i l   l e   k e   m u f t   k a h t e   h a i ñ   k u c h h   k a a m   k ā   n a h ī ñ
کہ میں تو صاحب ایماں ہوں اور منکر تو,ki maiñ to sāhabeīmāñ huuñ aur munkir tū,ک ہ   م ی ں   ت و   ص ا ح ب   ا ی م ا ں   ہ و ں   ا و ر   م ن ک ر   ت و,k i   m a i ñ   t o   s ā h a b e ī m ā ñ   h u u ñ   a u r   m u n k i r   t ū
دل مگر یہ کہتا ہے کچہ اور بہتر دیکہیے,dil magar ye kahtā hai kuchh aur behtar dekhiye,د ل   م گ ر   ی ہ   ک ہ ت ا   ہ ے   ک چ ہ   ا و ر   ب ہ ت ر   د ی ک ہ ی ے,d i l   m a g a r   y e   k a h t ā   h a i   k u c h h   a u r   b e h t a r   d e k h i y e
چہٹا جہاں سے اس اواز کا گہنا بادل,chhatā jahāñ se us āvāz kā ghanā bādal,چ ہ ٹ ا   ج ہ ا ں   س ے   ا س   ا و ا ز   ک ا   گ ہ ن ا   ب ا د ل,c h h a t ā   j a h ā ñ   s e   u s   ā v ā z   k ā   g h a n ā   b ā d a l
کچہ بہنور ڈوب گئے پانی میں چکراتے ہوئے,kuchh bhañvar duub gae paanī meñ chakrāte hue,ک چ ہ   ب ہ ن و ر   ڈ و ب   گ ئ ے   پ ا ن ی   م ی ں   چ ک ر ا ت ے   ہ و ئ ے,k u c h h   b h a ñ v a r   d u u b   g a e   p a a n ī   m e ñ   c h a k r ā t e   h u e
پوچہ تو مفت کا مول کبہی,pūchh to muft kā mol kabhī,پ و چ ہ   ت و   م ف ت   ک ا   م و ل   ک ب ہ ی,p ū c h h   t o   m u f t   k ā   m o l   k a b h ī
ہم قفس زاد قیدی ہیں ورنہ,ham qafaszād qaidī haiñ varna,ہ م   ق ف س   ز ا د   ق ی د ی   ہ ی ں   و ر ن ہ,h a m   q a f a s z ā d   q a i d ī   h a i ñ   v a r n a
دیپ مالا ہے سر گنگ و جمن کیا کہنا,dīpmālā hai saregañgojaman kyā kahnā,د ی پ   م ا ل ا   ہ ے   س ر   گ ن گ   و   ج م ن   ک ی ا   ک ہ ن ا,d ī p m ā l ā   h a i   s a r e g a ñ g o j a m a n   k y ā   k a h n ā
بوڑہے بابا کہانی سناتے رہے,būḍhe baabā kahānī sunāte rahe,ب و ڑ ہ ے   ب ا ب ا   ک ہ ا ن ی   س ن ا ت ے   ر ہ ے,b ū ḍ h e   b a a b ā   k a h ā n ī   s u n ā t e   r a h e
نہ لاوے تاب تیرے لب کی جو نامرد ہے ذاتی,na laave taab tere lab kī jo nāmard hai zaatī,ن ہ   ل ا و ے   ت ا ب   ت ی ر ے   ل ب   ک ی   ج و   ن ا م ر د   ہ ے   ذ ا ت ی,n a   l a a v e   t a a b   t e r e   l a b   k ī   j o   n ā m a r d   h a i   z a a t ī
یاد اتا ہے مجہے وو دو گل باغ وفا,yaad aatā hai mujhe vo do gulebāġhevafā,ی ا د   ا ت ا   ہ ے   م ج ہ ے   و و   د و   گ ل   ب ا غ   و ف ا,y a a d   a a t ā   h a i   m u j h e   v o   d o   g u l e b ā ġ h e v a f ā
عشرت پارۂ دل زخم تمنا کہانا,ishratepāraedil zaḳhmetamannā khānā,ع ش ر ت   پ ا ر ۂ   د ل   ز خ م   ت م ن ا   ک ہ ا ن ا,i s h r a t e p ā r a e d i l   z a ḳ h m e t a m a n n ā   k h ā n ā
لب تہرتہرا کے رہ گئے لیکن وہ اے جگرؔ,lab thartharā ke rah gae lekin vo ai jigar,ل ب   ت ہ ر ت ہ ر ا   ک ے   ر ہ   گ ئ ے   ل ی ک ن   و ہ   ا ے   ج گ ر ؔ,l a b   t h a r t h a r ā   k e   r a h   g a e   l e k i n   v o   a i   j i g a r
دہیرے دہیرے جیتی دنیا دہیرے دہیرے ہارے لوگ,dhīre dhīre jiitī duniyā dhīre dhīre haare log,د ہ ی ر ے   د ہ ی ر ے   ج ی ت ی   د ن ی ا   د ہ ی ر ے   د ہ ی ر ے   ہ ا ر ے   ل و گ,d h ī r e   d h ī r e   j i i t ī   d u n i y ā   d h ī r e   d h ī r e   h a a r e   l o g
کس قدر یارب ہلاک حسرت پا بوس تہا,kis qadar yārab halākehasratepābos thā,ک س   ق د ر   ی ا ر ب   ہ ل ا ک   ح س ر ت   پ ا   ب و س   ت ہ ا,k i s   q a d a r   y ā r a b   h a l ā k e h a s r a t e p ā b o s   t h ā
تیرا ترکش ہی کچہ آبستنیٔ تیر نہیں,terā tarkash hī kuchh ābistanīetīr nahīñ,ت ی ر ا   ت ر ک ش   ہ ی   ک چ ہ   ا ٓ ب س ت ن ی ٔ   ت ی ر   ن ہ ی ں,t e r ā   t a r k a s h   h ī   k u c h h   ā b i s t a n ī e t ī r   n a h ī ñ
پر ہمیں ان میں تمہیں بہائے بہت,par hameñ in meñ tumhīñ bhaae bahut,پ ر   ہ م ی ں   ا ن   م ی ں   ت م ہ ی ں   ب ہ ا ئ ے   ب ہ ت,p a r   h a m e ñ   i n   m e ñ   t u m h ī ñ   b h a a e   b a h u t
اپنے پہ اعتماد ہے غیر کو ازمائے کیوں,apne pe etimād hai ġhair ko āzmāe kyuuñ,ا پ ن ے   پ ہ   ا ع ت م ا د   ہ ے   غ ی ر   ک و   ا ز م ا ئ ے   ک ی و ں,a p n e   p e   e t i m ā d   h a i   ġ h a i r   k o   ā z m ā e   k y u u ñ
سفر میں ایک ہی منظر تو رہ نہیں سکتا,safar meñ ek hī manzar to rah nahīñ saktā,س ف ر   م ی ں   ا ی ک   ہ ی   م ن ظ ر   ت و   ر ہ   ن ہ ی ں   س ک ت ا,s a f a r   m e ñ   e k   h ī   m a n z a r   t o   r a h   n a h ī ñ   s a k t ā
دور جام بے خودی بیگانۂ ایام تہا,daurejāmebeḳhudī begānaeayyām thā,د و ر   ج ا م   ب ے   خ و د ی   ب ی گ ا ن ۂ   ا ی ا م   ت ہ ا,d a u r e j ā m e b e ḳ h u d ī   b e g ā n a e a y y ā m   t h ā
شاید اپنا بہی کوئی بیت حدی خواں بن کر,shāyad apnā bhī koī bait hudīḳhvāñ ban kar,ش ا ی د   ا پ ن ا   ب ہ ی   ک و ئ ی   ب ی ت   ح د ی   خ و ا ں   ب ن   ک ر,s h ā y a d   a p n ā   b h ī   k o ī   b a i t   h u d ī ḳ h v ā ñ   b a n   k a r
اک مہک سمت دل سے ائی تہی,ik mahak samtedil se aaī thī,ا ک   م ہ ک   س م ت   د ل   س ے   ا ئ ی   ت ہ ی,i k   m a h a k   s a m t e d i l   s e   a a ī   t h ī
کل سیر کیا ہم نے سمندر کو بہی جا کر,kal sair kiyā ham ne samundar ko bhī jā kar,ک ل   س ی ر   ک ی ا   ہ م   ن ے   س م ن د ر   ک و   ب ہ ی   ج ا   ک ر,k a l   s a i r   k i y ā   h a m   n e   s a m u n d a r   k o   b h ī   j ā   k a r
پہر صبا سایۂ شاخ گل کے تلے,phir sabā sāyaeshāḳhegul ke tale,پ ہ ر   ص ب ا   س ا ی ۂ   ش ا خ   گ ل   ک ے   ت ل ے,p h i r   s a b ā   s ā y a e s h ā ḳ h e g u l   k e   t a l e
دو مشکلیں ہیں ایک جتانے میں شوق کے,do mushkileñ haiñ ek jatāne meñ shauq ke,د و   م ش ک ل ی ں   ہ ی ں   ا ی ک   ج ت ا ن ے   م ی ں   ش و ق   ک ے,d o   m u s h k i l e ñ   h a i ñ   e k   j a t ā n e   m e ñ   s h a u q   k e
لیتا ہی رہا رات ترے رخ کی بلائیں,letā hī rahā raat tire ruḳh kī balāeñ,ل ی ت ا   ہ ی   ر ہ ا   ر ا ت   ت ر ے   ر خ   ک ی   ب ل ا ئ ی ں,l e t ā   h ī   r a h ā   r a a t   t i r e   r u ḳ h   k ī   b a l ā e ñ
رگوں میں گردش خوں ہے اگر تو کیا حاصل,ragoñ meñ gardisheḳhūñ hai agar to kyā hāsil,ر گ و ں   م ی ں   گ ر د ش   خ و ں   ہ ے   ا گ ر   ت و   ک ی ا   ح ا ص ل,r a g o ñ   m e ñ   g a r d i s h e ḳ h ū ñ   h a i   a g a r   t o   k y ā   h ā s i l
دل کی ہر چیز جگمگا اٹہی,dil kī har chiiz jagmagā utthī,د ل   ک ی   ہ ر   چ ی ز   ج گ م گ ا   ا ٹ ہ ی,d i l   k ī   h a r   c h i i z   j a g m a g ā   u t t h ī
خون جگر ودیعت مژگان یار تہا,ḳhūnejigar vadīatemizhgāneyār thā,خ و ن   ج گ ر   و د ی ع ت   م ژ گ ا ن   ی ا ر   ت ہ ا,ḳ h ū n e j i g a r   v a d ī a t e m i z h g ā n e y ā r   t h ā
مجہے یاد ہے تیری ہر صبح رخصت,mujhe yaad hai terī har subheruḳhsat,م ج ہ ے   ی ا د   ہ ے   ت ی ر ی   ہ ر   ص ب ح   ر خ ص ت,m u j h e   y a a d   h a i   t e r ī   h a r   s u b h e r u ḳ h s a t
پہلے پہلے ہوس اک ادہ دکاں کہولتی ہے,pahle pahle havas ikādh dukāñ kholtī hai,پ ہ ل ے   پ ہ ل ے   ہ و س   ا ک   ا د ہ   د ک ا ں   ک ہ و ل ت ی   ہ ے,p a h l e   p a h l e   h a v a s   i k ā d h   d u k ā ñ   k h o l t ī   h a i
یوں ہی لب پر اہ و فغاں اتے اتے,yūñhī lab par āhofuġhāñ aate aate,ی و ں   ہ ی   ل ب   پ ر   ا ہ   و   ف غ ا ں   ا ت ے   ا ت ے,y ū ñ h ī   l a b   p a r   ā h o f u ġ h ā ñ   a a t e   a a t e
کبہی کبہی میں یہ سوچتا ہوں کہ مجہ کو تیری تلاش کیوں ہے,kabhī kabhī maiñ ye sochtā huuñ ki mujh ko terī talāsh kyuuñ hai,ک ب ہ ی   ک ب ہ ی   م ی ں   ی ہ   س و چ ت ا   ہ و ں   ک ہ   م ج ہ   ک و   ت ی ر ی   ت ل ا ش   ک ی و ں   ہ ے,k a b h ī   k a b h ī   m a i ñ   y e   s o c h t ā   h u u ñ   k i   m u j h   k o   t e r ī   t a l ā s h   k y u u ñ   h a i
شوق ہر رنگ رقیب سر و ساماں نکلا,shauq har rañg raqībesarosāmāñ niklā,ش و ق   ہ ر   ر ن گ   ر ق ی ب   س ر   و   س ا م ا ں   ن ک ل ا,s h a u q   h a r   r a ñ g   r a q ī b e s a r o s ā m ā ñ   n i k l ā
ہم موحد ہیں ہمارا کیش ہے ترک رسوم,ham muvahhid haiñ hamārā kesh hai tarkerūsūm,ہ م   م و ح د   ہ ی ں   ہ م ا ر ا   ک ی ش   ہ ے   ت ر ک   ر س و م,h a m   m u v a h h i d   h a i ñ   h a m ā r ā   k e s h   h a i   t a r k e r ū s ū m
پہول کہلے ہیں گلشن گلشن,phuul khile haiñ gulshan gulshan,پ ہ و ل   ک ہ ل ے   ہ ی ں   گ ل ش ن   گ ل ش ن,p h u u l   k h i l e   h a i ñ   g u l s h a n   g u l s h a n
میں جبہی تک تہا کہ تیری جلوہ پیرائی نہ تہی,maiñ jabhī tak thā ki terī jalvapairāī na thī,م ی ں   ج ب ہ ی   ت ک   ت ہ ا   ک ہ   ت ی ر ی   ج ل و ہ   پ ی ر ا ئ ی   ن ہ   ت ہ ی,m a i ñ   j a b h ī   t a k   t h ā   k i   t e r ī   j a l v a p a i r ā ī   n a   t h ī
وہ دکہایا جو تہا مقام خراب,vo dikhāyā jo thā maqām ḳharāb,و ہ   د ک ہ ا ی ا   ج و   ت ہ ا   م ق ا م   خ ر ا ب,v o   d i k h ā y ā   j o   t h ā   m a q ā m   ḳ h a r ā b
مجہ کو یکسر بہلا چکی ہو کیا,mujh ko yaksar bhulā chukī ho kyā,م ج ہ   ک و   ی ک س ر   ب ہ ل ا   چ ک ی   ہ و   ک ی ا,m u j h   k o   y a k s a r   b h u l ā   c h u k ī   h o   k y ā
رشتۂ الفت پروانہ کو گل گیر نہ توڑ,rishtaeulfateparvāna ko gulgīr na toḍ,ر ش ت ۂ   ا ل ف ت   پ ر و ا ن ہ   ک و   گ ل   گ ی ر   ن ہ   ت و ڑ,r i s h t a e u l f a t e p a r v ā n a   k o   g u l g ī r   n a   t o ḍ
دل کا وہ حال ہوا ہے غم دوراں کے تلے,dil kā vo haal huā hai ġhamedaurāñ ke tale,د ل   ک ا   و ہ   ح ا ل   ہ و ا   ہ ے   غ م   د و ر ا ں   ک ے   ت ل ے,d i l   k ā   v o   h a a l   h u ā   h a i   ġ h a m e d a u r ā ñ   k e   t a l e
میں اج بہت بوجہا ہوا ہوں,maiñ aaj bahut bojhā huā huuñ,م ی ں   ا ج   ب ہ ت   ب و ج ہ ا   ہ و ا   ہ و ں,m a i ñ   a a j   b a h u t   b o j h ā   h u ā   h u u ñ
کسے پکار رہا تہا وہ ڈوبتا ہوا دن,kise pukār rahā thā vo dūbtā huā din,ک س ے   پ ک ا ر   ر ہ ا   ت ہ ا   و ہ   ڈ و ب ت ا   ہ و ا   د ن,k i s e   p u k ā r   r a h ā   t h ā   v o   d ū b t ā   h u ā   d i n
چہا گئی ہر بار کیوں کیسی کہی,chhā gaī har baar kyuuñ kaisī kahī,چ ہ ا   گ ئ ی   ہ ر   ب ا ر   ک ی و ں   ک ی س ی   ک ہ ی,c h h ā   g a ī   h a r   b a a r   k y u u ñ   k a i s ī   k a h ī
جانے کس حال میں ہیں کون سے شہروں میں ہیں وہ,jaane kis haal meñ haiñ kaun se shahroñ meñ haiñ vo,ج ا ن ے   ک س   ح ا ل   م ی ں   ہ ی ں   ک و ن   س ے   ش ہ ر و ں   م ی ں   ہ ی ں   و ہ,j a a n e   k i s   h a a l   m e ñ   h a i ñ   k a u n   s e   s h a h r o ñ   m e ñ   h a i ñ   v o
دلاؤ حضرت دل تم نہ یاد خط سبز اس کا,dilāo hazratedil tum na yādeḳhatesabz us kā,د ل ا ؤ   ح ض ر ت   د ل   ت م   ن ہ   ی ا د   خ ط   س ب ز   ا س   ک ا,d i l ā o   h a z r a t e d i l   t u m   n a   y ā d e ḳ h a t e s a b z   u s   k ā
ہم وہ عاجز کہ تغافل بہی ستم ہے ہم کو,ham vo aajiz ki taġhāful bhī sitam hai ham ko,ہ م   و ہ   ع ا ج ز   ک ہ   ت غ ا ف ل   ب ہ ی   س ت م   ہ ے   ہ م   ک و,h a m   v o   a a j i z   k i   t a ġ h ā f u l   b h ī   s i t a m   h a i   h a m   k o
ورنہ بے عیب زمانہ میں چلن کس کا ہے,varna beaib zamāne meñ chalan kis kā hai,و ر ن ہ   ب ے   ع ی ب   ز م ا ن ہ   م ی ں   چ ل ن   ک س   ک ا   ہ ے,v a r n a   b e a i b   z a m ā n e   m e ñ   c h a l a n   k i s   k ā   h a i
ہمارے عہد کی تہذیب میں قبا ہی نہیں,hamāre ahd kī tahzīb meñ qabā hī nahīñ,ہ م ا ر ے   ع ہ د   ک ی   ت ہ ذ ی ب   م ی ں   ق ب ا   ہ ی   ن ہ ی ں,h a m ā r e   a h d   k ī   t a h z ī b   m e ñ   q a b ā   h ī   n a h ī ñ
ہائے وہ عالم جنبش مژگاں جب فتنے پر تولیں ہیں,haae vo ālamejumbishemizhgāñ jab fitne par tauleñ haiñ,ہ ا ئ ے   و ہ   ع ا ل م   ج ن ب ش   م ژ گ ا ں   ج ب   ف ت ن ے   پ ر   ت و ل ی ں   ہ ی ں,h a a e   v o   ā l a m e j u m b i s h e m i z h g ā ñ   j a b   f i t n e   p a r   t a u l e ñ   h a i ñ
جیت جانے میں خسارا اور ہے,jiit jaane meñ ḳhasārā aur hai,ج ی ت   ج ا ن ے   م ی ں   خ س ا ر ا   ا و ر   ہ ے,j i i t   j a a n e   m e ñ   ḳ h a s ā r ā   a u r   h a i
یہی ہوتا ہے خاندان میں کیا,yahī hotā hai ḳhāndān meñ kyā,ی ہ ی   ہ و ت ا   ہ ے   خ ا ن د ا ن   م ی ں   ک ی ا,y a h ī   h o t ā   h a i   ḳ h ā n d ā n   m e ñ   k y ā
پہر بہی اہل دل کو احوال بشر کہنا تو ہے,phir bhī ahledil ko ahvālebashar kahnā to hai,پ ہ ر   ب ہ ی   ا ہ ل   د ل   ک و   ا ح و ا ل   ب ش ر   ک ہ ن ا   ت و   ہ ے,p h i r   b h ī   a h l e d i l   k o   a h v ā l e b a s h a r   k a h n ā   t o   h a i
وہ ایک دل جسے سب کچہ لٹا کے لوٹ لیا,vo ek dil jise sab kuchh lutā ke luut liyā,و ہ   ا ی ک   د ل   ج س ے   س ب   ک چ ہ   ل ٹ ا   ک ے   ل و ٹ   ل ی ا,v o   e k   d i l   j i s e   s a b   k u c h h   l u t ā   k e   l u u t   l i y ā
پسند خاطر اہل وفا ہے مدت سے,pasandeḳhātireahlevafā hai muddat se,پ س ن د   خ ا ط ر   ا ہ ل   و ف ا   ہ ے   م د ت   س ے,p a s a n d e ḳ h ā t i r e a h l e v a f ā   h a i   m u d d a t   s e
تن کی دولت چہاؤں ہے اتا ہے دہن جاتا ہے دہن,tan kī daulat chhāñv hai aatā hai dhan jaatā hai dhan,ت ن   ک ی   د و ل ت   چ ہ ا ؤ ں   ہ ے   ا ت ا   ہ ے   د ہ ن   ج ا ت ا   ہ ے   د ہ ن,t a n   k ī   d a u l a t   c h h ā ñ v   h a i   a a t ā   h a i   d h a n   j a a t ā   h a i   d h a n
وہ خزانہ نظر نہیں اتا,vo ḳhazāna nazar nahīñ aatā,و ہ   خ ز ا ن ہ   ن ظ ر   ن ہ ی ں   ا ت ا,v o   ḳ h a z ā n a   n a z a r   n a h ī ñ   a a t ā
ہوگا کوئی ایسا بہی کہ غالبؔ کو نہ جانے,hogā koī aisā bhī ki ġhālib ko na jaane,ہ و گ ا   ک و ئ ی   ا ی س ا   ب ہ ی   ک ہ   غ ا ل ب ؔ   ک و   ن ہ   ج ا ن ے,h o g ā   k o ī   a i s ā   b h ī   k i   ġ h ā l i b   k o   n a   j a a n e
تمہیں تو دل لگی ہوتی غریبوں پر ستم ہوتا,tumheñ to dillagī hotī ġharīboñ par sitam hotā,ت م ہ ی ں   ت و   د ل   ل گ ی   ہ و ت ی   غ ر ی ب و ں   پ ر   س ت م   ہ و ت ا,t u m h e ñ   t o   d i l l a g ī   h o t ī   ġ h a r ī b o ñ   p a r   s i t a m   h o t ā
ہر حساب غم حساب دوستاں بنتا گیا,har hisābeġham hisābedostāñ bantā gayā,ہ ر   ح س ا ب   غ م   ح س ا ب   د و س ت ا ں   ب ن ت ا   گ ی ا,h a r   h i s ā b e ġ h a m   h i s ā b e d o s t ā ñ   b a n t ā   g a y ā
گر لمس نہیں تو لفظ ہی بہیج,gar lams nahīñ to lafz hī bhej,گ ر   ل م س   ن ہ ی ں   ت و   ل ف ظ   ہ ی   ب ہ ی ج,g a r   l a m s   n a h ī ñ   t o   l a f z   h ī   b h e j
ہوا کی ضد پہ جلتے جا رہے ہیں,havā kī zid pe jalte jā rahe haiñ,ہ و ا   ک ی   ض د   پ ہ   ج ل ت ے   ج ا   ر ہ ے   ہ ی ں,h a v ā   k ī   z i d   p e   j a l t e   j ā   r a h e   h a i ñ
زخم فراق خندۂ بیجا کہیں جسے,zaḳhmefirāq ḳhandaebejā kaheñ jise,ز خ م   ف ر ا ق   خ ن د ہ ٔ   ب ی ج ا   ک ہ ی ں   ج س ے,z a ḳ h m e f i r ā q   ḳ h a n d a e b e j ā   k a h e ñ   j i s e
فلک نہ دور رکہ اس سے مجہے کہ میں ہی نہیں,falak na duur rakh us se mujhe ki maiñ hī nahīñ,ف ل ک   ن ہ   د و ر   ر ک ہ   ا س   س ے   م ج ہ ے   ک ہ   م ی ں   ہ ی   ن ہ ی ں,f a l a k   n a   d u u r   r a k h   u s   s e   m u j h e   k i   m a i ñ   h ī   n a h ī ñ
حقیقت بہی کہانی کار ہو ایسا نہیں ہوتا,haqīqat bhī kahānīkār ho aisā nahīñ hotā,ح ق ی ق ت   ب ہ ی   ک ہ ا ن ی   ک ا ر   ہ و   ا ی س ا   ن ہ ی ں   ہ و ت ا,h a q ī q a t   b h ī   k a h ā n ī k ā r   h o   a i s ā   n a h ī ñ   h o t ā
جان دے بیٹہے تہے اک بار ہوس والے بہی,jaan de baithe the ik baar havas vaale bhī,ج ا ن   د ے   ب ی ٹ ہ ے   ت ہ ے   ا ک   ب ا ر   ہ و س   و ا ل ے   ب ہ ی,j a a n   d e   b a i t h e   t h e   i k   b a a r   h a v a s   v a a l e   b h ī
جلوہ دکہا رہا ہے وہ ائینۂ جمال,jalva dikhā rahā hai vo āīnaejamāl,ج ل و ہ   د ک ہ ا   ر ہ ا   ہ ے   و ہ   ا ئ ی ن ۂ   ج م ا ل,j a l v a   d i k h ā   r a h ā   h a i   v o   ā ī n a e j a m ā l
اتش افروزی یک شعلۂ ایما تجہ سے,ātishafrozieyaksholaeīmā tujh se,ا ت ش   ا ف ر و ز ی   ی ک   ش ع ل ۂ   ا ی م ا   ت ج ہ   س ے,ā t i s h a f r o z i e y a k s h o l a e ī m ā   t u j h   s e
کیوں بوتے ہیں باغباں تونبے,kyuuñ bote haiñ bāġhbāñ toñbe,ک ی و ں   ب و ت ے   ہ ی ں   ب ا غ ب ا ں   ت و ن ب ے,k y u u ñ   b o t e   h a i ñ   b ā ġ h b ā ñ   t o ñ b e
مہمان نظر اس دم ایک برق تجلی ہے,mehmānenazar is dam ek barqetajallī hai,م ہ م ا ن   ن ظ ر   ا س   د م   ا ی ک   ب ر ق   ت ج ل ی   ہ ے,m e h m ā n e n a z a r   i s   d a m   e k   b a r q e t a j a l l ī   h a i
ظاہر کی انکہ سے نہ تماشا کرے کوئی,zāhir ki aañkh se na tamāshā kare koī,ظ ا ہ ر   ک ی   ا ن ک ہ   س ے   ن ہ   ت م ا ش ا   ک ر ے   ک و ئ ی,z ā h i r   k i   a a ñ k h   s e   n a   t a m ā s h ā   k a r e   k o ī
ہے یہ برسات وہ موسم کہ عجب کیا ہے اگر,hai ye barsāt vo mausam ki ajab kyā hai agar,ہ ے   ی ہ   ب ر س ا ت   و ہ   م و س م   ک ہ   ع ج ب   ک ی ا   ہ ے   ا گ ر,h a i   y e   b a r s ā t   v o   m a u s a m   k i   a j a b   k y ā   h a i   a g a r
کیا فائدہ ہے دعوئے عشق حسین سے,kyā fāeda hai dāvaeishqehusain se,ک ی ا   ف ا ئ د ہ   ہ ے   د ع و ئ ے   ع ش ق   ح س ی ن   س ے,k y ā   f ā e d a   h a i   d ā v a e i s h q e h u s a i n   s e
نہ پوچہو اہ و زاری کی حقیقت,na pūchho āhozārī kī haqīqat,ن ہ   پ و چ ہ و   ا ہ   و   ز ا ر ی   ک ی   ح ق ی ق ت,n a   p ū c h h o   ā h o z ā r ī   k ī   h a q ī q a t
یہ نصیرؔ شام سپردگی کی اداس اداس سی روشنی,ye nasīr shāmesupurdagī kī udaas udaas sī raushnī,ی ہ   ن ص ی ر ؔ   ش ا م   س پ ر د گ ی   ک ی   ا د ا س   ا د ا س   س ی   ر و ش ن ی,y e   n a s ī r   s h ā m e s u p u r d a g ī   k ī   u d a a s   u d a a s   s ī   r a u s h n ī
